2023-12-22 20:03:06.341  8117-8177  chatty                  com.amaze.filemanager.debug          I  uid=10087(com.amaze.filemanager.debug) glide-source-th identical 2 lines
2023-12-22 20:03:06.341  8117-8177  skia                    com.amaze.filemanager.debug          D  --- Failed to create image decoder with message 'unimplemented'
2023-12-22 20:03:06.520  1930-3581  GnssLocationProvider    system_server                        I  WakeLock acquired by sendMessage(REPORT_SV_STATUS, 0, com.android.server.location.GnssLocationProvider$SvStatusInfo@686659b)
2023-12-22 20:03:06.521  1930-1943  GnssLocationProvider    system_server                        I  WakeLock released by handleMessage(REPORT_SV_STATUS, 0, com.android.server.location.GnssLocationProvider$SvStatusInfo@686659b)
2023-12-22 20:03:07.520  1930-3581  GnssLocationProvider    system_server                        I  WakeLock acquired by sendMessage(REPORT_SV_STATUS, 0, com.android.server.location.GnssLocationProvider$SvStatusInfo@b10ad38)
2023-12-22 20:03:07.521  1930-1943  GnssLocationProvider    system_server                        I  WakeLock released by handleMessage(REPORT_SV_STATUS, 0, com.android.server.location.GnssLocationProvider$SvStatusInfo@b10ad38)
2023-12-22 20:03:08.266  1771-1771  SurfaceFlinger          surfaceflinger                       D  duplicate layer name: changing com.amaze.filemanager.debug/com.amaze.filemanager.ui.activities.MainActivity to com.amaze.filemanager.debug/com.amaze.filemanager.ui.activities.MainActivity#1
2023-12-22 20:03:08.269  1648-1648  gralloc_ranchu          and...raphics.allocator@2.0-service  D  gralloc_alloc: Creating ashmem region of size 5156864
2023-12-22 20:03:08.280  1648-1701  gralloc_ranchu          and...raphics.allocator@2.0-service  D  gralloc_alloc: Creating ashmem region of size 5156864
2023-12-22 20:03:08.284  1648-1648  gralloc_ranchu          and...raphics.allocator@2.0-service  D  gralloc_alloc: Creating ashmem region of size 5156864
2023-12-22 20:03:08.295  3017-3017  GoogleInputMethod       com...gle.android.inputmethod.latin  I  onFinishInput() : Dummy InputConnection bound
2023-12-22 20:03:08.295  3017-3017  GoogleInputMethod       com...gle.android.inputmethod.latin  I  onStartInput() : Dummy InputConnection bound
2023-12-22 20:03:08.310  8117-8159  EGL_emulation           com.amaze.filemanager.debug          D  eglMakeCurrent: 0xe26830c0: ver 2 0 (tinfo 0xe87fd9b0)
2023-12-22 20:03:08.375  8117-8159  chatty                  com.amaze.filemanager.debug          I  uid=10087(com.amaze.filemanager.debug) RenderThread identical 2 lines
2023-12-22 20:03:08.388  8117-8159  EGL_emulation           com.amaze.filemanager.debug          D  eglMakeCurrent: 0xe26830c0: ver 2 0 (tinfo 0xe87fd9b0)
2023-12-22 20:03:08.520  1930-3581  GnssLocationProvider    system_server                        I  WakeLock acquired by sendMessage(REPORT_SV_STATUS, 0, com.android.server.location.GnssLocationProvider$SvStatusInfo@a806c7c)
2023-12-22 20:03:08.521  1930-1943  GnssLocationProvider    system_server                        I  WakeLock released by handleMessage(REPORT_SV_STATUS, 0, com.android.server.location.GnssLocationProvider$SvStatusInfo@a806c7c)
2023-12-22 20:03:09.520  1930-3581  GnssLocationProvider    system_server                        I  WakeLock acquired by sendMessage(REPORT_SV_STATUS, 0, com.android.server.location.GnssLocationProvider$SvStatusInfo@c07eb8b)
2023-12-22 20:03:09.521  1930-1943  GnssLocationProvider    system_server                        I  WakeLock released by handleMessage(REPORT_SV_STATUS, 0, com.android.server.location.GnssLocationProvider$SvStatusInfo@c07eb8b)
2023-12-22 20:03:09.848  8117-8159  EGL_emulation           com.amaze.filemanager.debug          D  eglMakeCurrent: 0xe26830c0: ver 2 0 (tinfo 0xe87fd9b0)
2023-12-22 20:03:10.185  8117-8159  EGL_emulation           com.amaze.filemanager.debug          D  eglMakeCurrent: 0xe26830c0: ver 2 0 (tinfo 0xe87fd9b0)
2023-12-22 20:03:10.188  8117-8159  OpenGLRenderer          com.amaze.filemanager.debug          D  endAllActiveAnimators on 0xcc9a6a00 (RippleDrawable) with handle 0xc7ef01e0
2023-12-22 20:03:10.196  8117-8159  EGL_emulation           com.amaze.filemanager.debug          D  eglMakeCurrent: 0xe26830c0: ver 2 0 (tinfo 0xe87fd9b0)
2023-12-22 20:03:10.246  3017-3017  GoogleInputMethod       com...gle.android.inputmethod.latin  I  onFinishInput() : Dummy InputConnection bound
2023-12-22 20:03:10.246  3017-3017  GoogleInputMethod       com...gle.android.inputmethod.latin  I  onStartInput() : Dummy InputConnection bound
2023-12-22 20:03:10.253  8117-8117  RecyclerView            com.amaze.filemanager.debug          E  No adapter attached; skipping layout
2023-12-22 20:03:10.365  1771-1903  SurfaceFlinger          surfaceflinger                       W  Attempting to set client state on removed layer: com.amaze.filemanager.debug/com.amaze.filemanager.ui.activities.MainActivity#1
